ticker,count
eq.CRCT.US,1314
eq.S.US,1308
eq.WTO.US,1307
eq.ARQQ.US,1301
eq.APP.US,1299
eq.WBX.US,1298
eq.PATH.US,1295
eq.FTCI.US,1291
eq.PCOR.US,1274
eq.DLO.US,1266
eq.DV.US,1264
eq.TASK.US,1260
eq.YOU.US,1247
eq.MKTW.US,1232
eq.GEN.US,1223
eq.HOLO.US,1217
eq.CISO.US,1210
eq.MQ.US,1205
eq.DCBO.US,1205
eq.NNDM.US,1205
eq.DSP.US,1205
eq.VERX.US,1205
eq.INDI.US,1205
eq.OSS.US,1205
eq.IBEX.US,1205
eq.ALIT.US,1205
eq.AFRM.US,1205
eq.CNXC.US,1205
eq.CLBT.US,1205
eq.AVPT.US,1205
eq.WRAP.US,1205
eq.YALA.US,1205
eq.CRSR.US,1205
eq.PLTR.US,1205
eq.ASTS.US,1205
eq.ONDS.US,1205
eq.REKR.US,1205
eq.DUOL.US,1205
eq.FROG.US,1205
eq.MRAM.US,1205
eq.BEEM.US,1205
eq.NABL.US,1205
eq.RMNI.US,1205
eq.MNDY.US,1205
eq.BMBL.US,1205
eq.PAYO.US,1205
eq.PRCH.US,1205
eq.CXM.US,1205
eq.WYY.US,1205
eq.SHLS.US,1205
eq.DOCN.US,1205
eq.AEYE.US,1205
eq.SITM.US,1205
eq.SKYT.US,1205
eq.QUBT.US,1205
eq.PUBM.US,1205
eq.AMPG.US,1205
eq.CLVT.US,1205
eq.DAVA.US,1205
eq.PRTH.US,1205
eq.IMXI.US,1205
eq.USIO.US,1205
eq.GDYN.US,1205
eq.ALGM.US,1205
eq.CAN.US,1205
eq.LSPD.US,1205
eq.ASAN.US,1205
eq.FCUV.US,1202
eq.KARO.US,1202
eq.RSSS.US,1202
eq.NRDY.US,1199
eq.GREE.US,1194
eq.SRAD.US,1194
eq.VIA.US,1193
eq.RCAT.US,1191
eq.IONQ.US,1191
eq.WOLF.US,1190
eq.BNZI.US,1189
eq.FRSH.US,1188
eq.TOST.US,1188
eq.GRRR.US,1187
eq.ARBE.US,1186
eq.VLN.US,1182
eq.LAW.US,1180
eq.RELY.US,1180
eq.BLND.US,1179
eq.RSKD.US,1179
eq.CCSI.US,1176
eq.YMM.US,1173
eq.GTLB.US,1172
eq.CYN.US,1169
eq.ZETA.US,1168
eq.NVTS.US,1168
eq.AUR.US,1167
eq.NN.US,1165
eq.PAY.US,1163
eq.ALKT.US,1163
eq.AMPL.US,1160
eq.CWAN.US,1160
eq.TROO.US,1159
eq.KD.US,1157
eq.VTEX.US,1153
eq.GFS.US,1153
eq.WALD.US,1153
eq.SPWR.US,1151
eq.SMWB.US,1149
eq.GRAB.US,1148
eq.TSAT.US,1146
eq.BBAI.US,1144
eq.BLZE.US,1139
eq.IOT.US,1129
eq.AIFF.US,1128
eq.KLTR.US,1123
eq.FLYW.US,1122
eq.DAVE.US,1114
eq.XBP.US,1093
eq.RGTI.US,1087
eq.BNAI.US,1085
eq.BRZE.US,1066
eq.EXFY.US,1066
eq.SWVL.US,1055
eq.INTA.US,1043
eq.SOUN.US,1037
eq.LSAK.US,1028
eq.SURG.US,1028
eq.CINT.US,1028
eq.GBTG.US,1025
eq.AIP.US,1019
eq.JTAI.US,1018
eq.SVRE.US,1013
eq.FISV.US,1012
eq.PGY.US,1000
eq.SAIL.US,997
eq.EVCM.US,986
eq.CRDO.US,986
eq.QBTS.US,968
eq.MOB.US,955
eq.RUM.US,949
eq.GCT.US,945
